index,Place Name,Place ID,Place Sequence,Boardings,Alightings,Load,time,day,line,direction,per,level
90,Airport,B.70048,6,12,23,82,12pm-1pm,Weekday,Blue Line,Eastbound,14,placeholder
91,Wood Island,B.70050,7,2,9.1,82,12pm-1pm,Weekday,Blue Line,Eastbound,14,placeholder
92,Orient Heights,B.70052,8,2,20.7,58,12pm-1pm,Weekday,Blue Line,Eastbound,10,placeholder
93,Suffolk Downs,B.70054,9,0,3.5,52,12pm-1pm,Weekday,Blue Line,Eastbound,9,placeholder
94,Beachmont,B.70056,10,2,15.5,39,12pm-1pm,Weekday,Blue Line,Eastbound,6,placeholder
95,Revere Beach,B.70058,11,1,16.1,23,12pm-1pm,Weekday,Blue Line,Eastbound,4,placeholder
96,Wonderland,B.70060,12,0,23.3,0,12pm-1pm,Weekday,Blue Line,Eastbound,0,placeholder
97,Bowdoin,B.70038,1,10,0,10,1pm-2pm,Weekday,Blue Line,Eastbound,2,placeholder
98,Government Center,B.70040,2,76,0.9,85,1pm-2pm,Weekday,Blue Line,Eastbound,14,placeholder
99,State,B.70042,3,70,1.7,152,1pm-2pm,Weekday,Blue Line,Eastbound,25,placeholder
100,Aquarium,B.70044,4,12,8.2,156,1pm-2pm,Weekday,Blue Line,Eastbound,26,placeholder
101,Maverick,B.70046,5,16,62.4,130,1pm-2pm,Weekday,Blue Line,Eastbound,22,placeholder
102,Airport,B.70048,6,16,29.2,111,1pm-2pm,Weekday,Blue Line,Eastbound,18,placeholder
103,Wood Island,B.70050,7,2,10.8,93,1pm-2pm,Weekday,Blue Line,Eastbound,16,placeholder
104,Orient Heights,B.70052,8,3,25.3,75,1pm-2pm,Weekday,Blue Line,Eastbound,12,placeholder
105,Suffolk Downs,B.70054,9,0,4.6,64,1pm-2pm,Weekday,Blue Line,Eastbound,11,placeholder
106,Beachmont,B.70056,10,3,18.1,51,1pm-2pm,Weekday,Blue Line,Eastbound,8,placeholder
107,Revere Beach,B.70058,11,0,21.4,31,1pm-2pm,Weekday,Blue Line,Eastbound,5,placeholder
108,Wonderland,B.70060,12,0,29.6,0,1pm-2pm,Weekday,Blue Line,Eastbound,0,placeholder
109,Bowdoin,B.70038,1,11,0,11,2pm-3pm,Weekday,Blue Line,Eastbound,2,placeholder
110,Government Center,B.70040,2,68,0.9,79,2pm-3pm,Weekday,Blue Line,Eastbound,13,placeholder
111,State,B.70042,3,77,1.8,156,2pm-3pm,Weekday,Blue Line,Eastbound,26,placeholder
112,Aquarium,B.70044,4,15,6.7,170,2pm-3pm,Weekday,Blue Line,Eastbound,28,placeholder
113,Maverick,B.70046,5,14,58.9,119,2pm-3pm,Weekday,Blue Line,Eastbound,20,placeholder
114,Airport,B.70048,6,17,29.4,113,2pm-3pm,Weekday,Blue Line,Eastbound,19,placeholder
115,Wood Island,B.70050,7,2,13.1,111,2pm-3pm,Weekday,Blue Line,Eastbound,18,placeholder
116,Orient Heights,B.70052,8,2,29.2,85,2pm-3pm,Weekday,Blue Line,Eastbound,14,placeholder
117,Suffolk Downs,B.70054,9,0,4.4,64,2pm-3pm,Weekday,Blue Line,Eastbound,11,placeholder
118,Beachmont,B.70056,10,2,17.9,47,2pm-3pm,Weekday,Blue Line,Eastbound,8,placeholder
119,Revere Beach,B.70058,11,0,21,30,2pm-3pm,Weekday,Blue Line,Eastbound,5,placeholder
120,Wonderland,B.70060,12,0,32.4,0,2pm-3pm,Weekday,Blue Line,Eastbound,0,placeholder
121,Bowdoin,B.70038,1,22,0,22,3pm-4pm,Weekday,Blue Line,Eastbound,4,placeholder
122,Government Center,B.70040,2,85,0.9,105,3pm-4pm,Weekday,Blue Line,Eastbound,18,placeholder
123,State,B.70042,3,78,1.8,185,3pm-4pm,Weekday,Blue Line,Eastbound,31,placeholder
124,Aquarium,B.70044,4,20,6.5,194,3pm-4pm,Weekday,Blue Line,Eastbound,32,placeholder
125,Maverick,B.70046,5,15,66.3,148,3pm-4pm,Weekday,Blue Line,Eastbound,25,placeholder
126,Airport,B.70048,6,14,28.6,125,3pm-4pm,Weekday,Blue Line,Eastbound,21,placeholder
127,Wood Island,B.70050,7,2,12,114,3pm-4pm,Weekday,Blue Line,Eastbound,19,placeholder
128,Orient Heights,B.70052,8,2,29.8,91,3pm-4pm,Weekday,Blue Line,Eastbound,15,placeholder
129,Suffolk Downs,B.70054,9,0,5.6,84,3pm-4pm,Weekday,Blue Line,Eastbound,14,placeholder
130,Beachmont,B.70056,10,2,25.4,64,3pm-4pm,Weekday,Blue Line,Eastbound,11,placeholder
131,Revere Beach,B.70058,11,1,23.4,37,3pm-4pm,Weekday,Blue Line,Eastbound,6,placeholder
132,Wonderland,B.70060,12,0,35,0,3pm-4pm,Weekday,Blue Line,Eastbound,0,placeholder
133,Bowdoin,B.70038,1,26,0,26,4pm-5pm,Weekday,Blue Line,Eastbound,4,placeholder
134,Government Center,B.70040,2,102,1.1,128,4pm-5pm,Weekday,Blue Line,Eastbound,21,placeholder
135,State,B.70042,3,87,2.1,209,4pm-5pm,Weekday,Blue Line,Eastbound,35,placeholder
136,Aquarium,B.70044,4,25,6.3,228,4pm-5pm,Weekday,Blue Line,Eastbound,38,placeholder
137,Maverick,B.70046,5,15,69.4,176,4pm-5pm,Weekday,Blue Line,Eastbound,29,placeholder
138,Airport,B.70048,6,14,35.3,162,4pm-5pm,Weekday,Blue Line,Eastbound,27,placeholder
139,Wood Island,B.70050,7,3,12.3,151,4pm-5pm,Weekday,Blue Line,Eastbound,25,placeholder
140,Orient Heights,B.70052,8,2,34.5,114,4pm-5pm,Weekday,Blue Line,Eastbound,19,placeholder
141,Suffolk Downs,B.70054,9,0,7.4,110,4pm-5pm,Weekday,Blue Line,Eastbound,18,placeholder
142,Beachmont,B.70056,10,2,29.8,80,4pm-5pm,Weekday,Blue Line,Eastbound,13,placeholder
143,Revere Beach,B.70058,11,0,29.2,51,4pm-5pm,Weekday,Blue Line,Eastbound,8,placeholder
144,Wonderland,B.70060,12,0,51.9,0,4pm-5pm,Weekday,Blue Line,Eastbound,0,placeholder
145,Bowdoin,B.70038,1,27,0,27,5pm-6pm,Weekday,Blue Line,Eastbound,4,placeholder
146,Government Center,B.70040,2,110,1.3,136,5pm-6pm,Weekday,Blue Line,Eastbound,23,placeholder
147,State,B.70042,3,98,2.4,234,5pm-6pm,Weekday,Blue Line,Eastbound,39,placeholder
148,Aquarium,B.70044,4,27,5,250,5pm-6pm,Weekday,Blue Line,Eastbound,42,placeholder
149,Maverick,B.70046,5,16,77.7,194,5pm-6pm,Weekday,Blue Line,Eastbound,32,placeholder
150,Airport,B.70048,6,14,34.1,172,5pm-6pm,Weekday,Blue Line,Eastbound,29,placeholder
151,Wood Island,B.70050,7,2,10.3,163,5pm-6pm,Weekday,Blue Line,Eastbound,27,placeholder
152,Orient Heights,B.70052,8,3,39.6,126,5pm-6pm,Weekday,Blue Line,Eastbound,21,placeholder
153,Suffolk Downs,B.70054,9,0,7,124,5pm-6pm,Weekday,Blue Line,Eastbound,21,placeholder
154,Beachmont,B.70056,10,2,31.9,95,5pm-6pm,Weekday,Blue Line,Eastbound,16,placeholder
155,Revere Beach,B.70058,11,0,29.3,65,5pm-6pm,Weekday,Blue Line,Eastbound,11,placeholder
156,Wonderland,B.70060,12,0,66.8,0,5pm-6pm,Weekday,Blue Line,Eastbound,0,placeholder
157,Bowdoin,B.70038,1,13,0,13,6pm-7pm,Weekday,Blue Line,Eastbound,2,placeholder
158,Government Center,B.70040,2,84,0.8,97,6pm-7pm,Weekday,Blue Line,Eastbound,16,placeholder
159,State,B.70042,3,69,1.4,164,6pm-7pm,Weekday,Blue Line,Eastbound,27,placeholder
160,Aquarium,B.70044,4,19,4.4,180,6pm-7pm,Weekday,Blue Line,Eastbound,30,placeholder
161,Maverick,B.70046,5,11,64.5,116,6pm-7pm,Weekday,Blue Line,Eastbound,19,placeholder
162,Airport,B.70048,6,10,26.5,108,6pm-7pm,Weekday,Blue Line,Eastbound,18,placeholder
163,Wood Island,B.70050,7,1,8.5,102,6pm-7pm,Weekday,Blue Line,Eastbound,17,placeholder
164,Orient Heights,B.70052,8,2,26.5,81,6pm-7pm,Weekday,Blue Line,Eastbound,14,placeholder
165,Suffolk Downs,B.70054,9,0,4.3,69,6pm-7pm,Weekday,Blue Line,Eastbound,12,placeholder
166,Beachmont,B.70056,10,2,17.5,53,6pm-7pm,Weekday,Blue Line,Eastbound,9,placeholder
167,Revere Beach,B.70058,11,0,18.6,36,6pm-7pm,Weekday,Blue Line,Eastbound,6,placeholder
168,Wonderland,B.70060,12,0,35.4,0,6pm-7pm,Weekday,Blue Line,Eastbound,0,placeholder
169,Bowdoin,B.70038,1,11,0,11,7pm-8pm,Weekday,Blue Line,Eastbound,2,placeholder
170,Government Center,B.70040,2,74,0.6,84,7pm-8pm,Weekday,Blue Line,Eastbound,14,placeholder
171,State,B.70042,3,57,1,137,7pm-8pm,Weekday,Blue Line,Eastbound,23,placeholder
172,Aquarium,B.70044,4,16,3.1,154,7pm-8pm,Weekday,Blue Line,Eastbound,26,placeholder
173,Maverick,B.70046,5,10,60.1,105,7pm-8pm,Weekday,Blue Line,Eastbound,18,placeholder
174,Airport,B.70048,6,11,25.7,93,7pm-8pm,Weekday,Blue Line,Eastbound,16,placeholder
175,Wood Island,B.70050,7,1,8.5,84,7pm-8pm,Weekday,Blue Line,Eastbound,14,placeholder
176,Orient Heights,B.70052,8,2,18.8,58,7pm-8pm,Weekday,Blue Line,Eastbound,10,placeholder
177,Suffolk Downs,B.70054,9,0,3.2,51,7pm-8pm,Weekday,Blue Line,Eastbound,8,placeholder
178,Beachmont,B.70056,10,1,13.1,38,7pm-8pm,Weekday,Blue Line,Eastbound,6,placeholder
179,Revere Beach,B.70058,11,0,15,23,7pm-8pm,Weekday,Blue Line,Eastbound,4,placeholder
180,Wonderland,B.70060,12,0,23.4,0,7pm-8pm,Weekday,Blue Line,Eastbound,0,placeholder
181,Bowdoin,B.70038,1,11,0,11,8pm-9pm,Weekday,Blue Line,Eastbound,2,placeholder
182,Government Center,B.70040,2,71,0.4,81,8pm-9pm,Weekday,Blue Line,Eastbound,14,placeholder
183,State,B.70042,3,53,0.9,133,8pm-9pm,Weekday,Blue Line,Eastbound,22,placeholder
184,Aquarium,B.70044,4,15,3,143,8pm-9pm,Weekday,Blue Line,Eastbound,24,placeholder
185,Maverick,B.70046,5,11,55.4,98,8pm-9pm,Weekday,Blue Line,Eastbound,16,placeholder
186,Airport,B.70048,6,14,26.8,96,8pm-9pm,Weekday,Blue Line,Eastbound,16,placeholder
187,Wood Island,B.70050,7,2,8.9,85,8pm-9pm,Weekday,Blue Line,Eastbound,14,placeholder
188,Orient Heights,B.70052,8,3,21.4,66,8pm-9pm,Weekday,Blue Line,Eastbound,11,placeholder
189,Suffolk Downs,B.70054,9,0,3.8,61,8pm-9pm,Weekday,Blue Line,Eastbound,10,placeholder
190,Beachmont,B.70056,10,2,17.9,45,8pm-9pm,Weekday,Blue Line,Eastbound,8,placeholder
191,Revere Beach,B.70058,11,0,18.6,27,8pm-9pm,Weekday,Blue Line,Eastbound,4,placeholder
192,Wonderland,B.70060,12,0,24,0,8pm-9pm,Weekday,Blue Line,Eastbound,0,placeholder
193,Bowdoin,B.70038,1,11,0,11,9pm-10pm,Weekday,Blue Line,Eastbound,2,placeholder
194,Government Center,B.70040,2,101,0.4,112,9pm-10pm,Weekday,Blue Line,Eastbound,19,placeholder
195,State,B.70042,3,61,1,180,9pm-10pm,Weekday,Blue Line,Eastbound,30,placeholder
196,Aquarium,B.70044,4,23,3,195,9pm-10pm,Weekday,Blue Line,Eastbound,32,placeholder
197,Maverick,B.70046,5,9,75,134,9pm-10pm,Weekday,Blue Line,Eastbound,22,placeholder
198,Airport,B.70048,6,19,36,126,9pm-10pm,Weekday,Blue Line,Eastbound,21,placeholder
199,Wood Island,B.70050,7,1,13.1,114,9pm-10pm,Weekday,Blue Line,Eastbound,19,placeholder
200,Orient Heights,B.70052,8,2,26.8,89,9pm-10pm,Weekday,Blue Line,Eastbound,15,placeholder
201,Suffolk Downs,B.70054,9,0,3.9,75,9pm-10pm,Weekday,Blue Line,Eastbound,12,placeholder
202,Beachmont,B.70056,10,2,19.6,58,9pm-10pm,Weekday,Blue Line,Eastbound,10,placeholder
203,Revere Beach,B.70058,11,0,29.5,34,9pm-10pm,Weekday,Blue Line,Eastbound,6,placeholder
204,Wonderland,B.70060,12,0,34.4,0,9pm-10pm,Weekday,Blue Line,Eastbound,0,placeholder
205,Bowdoin,B.70038,1,12,0,12,10pm-11pm,Weekday,Blue Line,Eastbound,2,placeholder
206,Government Center,B.70040,2,148,0.3,160,10pm-11pm,Weekday,Blue Line,Eastbound,27,placeholder
207,State,B.70042,3,65,0.8,218,10pm-11pm,Weekday,Blue Line,Eastbound,36,placeholder
208,Aquarium,B.70044,4,28,2.5,258,10pm-11pm,Weekday,Blue Line,Eastbound,43,placeholder
209,Maverick,B.70046,5,9,85.5,159,10pm-11pm,Weekday,Blue Line,Eastbound,26,placeholder
210,Airport,B.70048,6,27,41.5,159,10pm-11pm,Weekday,Blue Line,Eastbound,26,placeholder
211,Wood Island,B.70050,7,2,18.3,150,10pm-11pm,Weekday,Blue Line,Eastbound,25,placeholder
212,Orient Heights,B.70052,8,2,37.9,122,10pm-11pm,Weekday,Blue Line,Eastbound,20,placeholder
213,Suffolk Downs,B.70054,9,0,5.1,109,10pm-11pm,Weekday,Blue Line,Eastbound,18,placeholder
214,Beachmont,B.70056,10,1,30.5,74,10pm-11pm,Weekday,Blue Line,Eastbound,12,placeholder
215,Revere Beach,B.70058,11,0,37.8,31,10pm-11pm,Weekday,Blue Line,Eastbound,5,placeholder
216,Wonderland,B.70060,12,0,31.7,0,10pm-11pm,Weekday,Blue Line,Eastbound,0,placeholder
217,Bowdoin,B.70038,1,13,0,13,11pm-12am,Weekday,Blue Line,Eastbound,2,placeholder
218,Government Center,B.70040,2,134,0.3,146,11pm-12am,Weekday,Blue Line,Eastbound,24,placeholder
219,State,B.70042,3,55,0.7,204,11pm-12am,Weekday,Blue Line,Eastbound,34,placeholder
220,Aquarium,B.70044,4,23,2.4,228,11pm-12am,Weekday,Blue Line,Eastbound,38,placeholder
221,Maverick,B.70046,5,6,79.7,154,11pm-12am,Weekday,Blue Line,Eastbound,26,placeholder
222,Airport,B.70048,6,21,37.2,153,11pm-12am,Weekday,Blue Line,Eastbound,26,placeholder
223,Wood Island,B.70050,7,2,15.5,133,11pm-12am,Weekday,Blue Line,Eastbound,22,placeholder
224,Orient Heights,B.70052,8,2,30.5,107,11pm-12am,Weekday,Blue Line,Eastbound,18,placeholder
225,Suffolk Downs,B.70054,9,0,4.8,98,11pm-12am,Weekday,Blue Line,Eastbound,16,placeholder
226,Beachmont,B.70056,10,0,29.6,68,11pm-12am,Weekday,Blue Line,Eastbound,11,placeholder
227,Revere Beach,B.70058,11,0,34.6,32,11pm-12am,Weekday,Blue Line,Eastbound,5,placeholder
228,Wonderland,B.70060,12,0,32.2,0,11pm-12am,Weekday,Blue Line,Eastbound,0,placeholder
229,Bowdoin,B.70038,1,2,0,2,12am-1am,Weekday,Blue Line,Eastbound,0,placeholder
230,Government Center,B.70040,2,47,0.2,49,12am-1am,Weekday,Blue Line,Eastbound,8,placeholder
231,State,B.70042,3,25,0.2,77,12am-1am,Weekday,Blue Line,Eastbound,13,placeholder
232,Aquarium,B.70044,4,10,0.8,79,12am-1am,Weekday,Blue Line,Eastbound,13,placeholder
233,Maverick,B.70046,5,3,28.5,52,12am-1am,Weekday,Blue Line,Eastbound,9,placeholder
234,Airport,B.70048,6,10,12.7,53,12am-1am,Weekday,Blue Line,Eastbound,9,placeholder
235,Wood Island,B.70050,7,0,6.3,50,12am-1am,Weekday,Blue Line,Eastbound,8,placeholder
236,Orient Heights,B.70052,8,1,10.3,37,12am-1am,Weekday,Blue Line,Eastbound,6,placeholder
237,Suffolk Downs,B.70054,9,0,1.9,33,12am-1am,Weekday,Blue Line,Eastbound,6,placeholder
238,Beachmont,B.70056,10,0,10.9,23,12am-1am,Weekday,Blue Line,Eastbound,4,placeholder
239,Revere Beach,B.70058,11,0,13.6,9,12am-1am,Weekday,Blue Line,Eastbound,2,placeholder
240,Wonderland,B.70060,12,0,9.2,0,12am-1am,Weekday,Blue Line,Eastbound,0,placeholder
241,Bowdoin,B.70038,1,0,0,0,5am-6am,Monday,Blue Line,Eastbound,0,placeholder
242,Government Center,B.70040,2,4,0.1,4,5am-6am,Monday,Blue Line,Eastbound,1,placeholder
243,State,B.70042,3,5,0.1,9,5am-6am,Monday,Blue Line,Eastbound,2,placeholder
244,Aquarium,B.70044,4,1,0.3,11,5am-6am,Monday,Blue Line,Eastbound,2,placeholder
245,Maverick,B.70046,5,6,7.5,22,5am-6am,Monday,Blue Line,Eastbound,4,placeholder
246,Airport,B.70048,6,4,8.3,24,5am-6am,Monday,Blue Line,Eastbound,4,placeholder
247,Wood Island,B.70050,7,1,6.1,22,5am-6am,Monday,Blue Line,Eastbound,4,placeholder
248,Orient Heights,B.70052,8,2,9.2,20,5am-6am,Monday,Blue Line,Eastbound,3,placeholder
249,Suffolk Downs,B.70054,9,0,0.5,10,5am-6am,Monday,Blue Line,Eastbound,2,placeholder
250,Beachmont,B.70056,10,2,2.2,9,5am-6am,Monday,Blue Line,Eastbound,2,placeholder
251,Revere Beach,B.70058,11,0,2.7,8,5am-6am,Monday,Blue Line,Eastbound,1,placeholder
252,Wonderland,B.70060,12,0,6.8,0,5am-6am,Monday,Blue Line,Eastbound,0,placeholder
253,Bowdoin,B.70038,1,1,0,1,6am-7am,Monday,Blue Line,Eastbound,0,placeholder
254,Government Center,B.70040,2,13,0.1,15,6am-7am,Monday,Blue Line,Eastbound,2,placeholder
255,State,B.70042,3,12,0.3,27,6am-7am,Monday,Blue Line,Eastbound,4,placeholder
256,Aquarium,B.70044,4,2,1,28,6am-7am,Monday,Blue Line,Eastbound,5,placeholder
257,Maverick,B.70046,5,6,9.2,26,6am-7am,Monday,Blue Line,Eastbound,4,placeholder
258,Airport,B.70048,6,3,8.4,18,6am-7am,Monday,Blue Line,Eastbound,3,placeholder
259,Wood Island,B.70050,7,1,5.1,13,6am-7am,Monday,Blue Line,Eastbound,2,placeholder
260,Orient Heights,B.70052,8,1,3.7,12,6am-7am,Monday,Blue Line,Eastbound,2,placeholder
